Id_Reference,Nom_Intersection,Date,Periode,Heure,Minute,NBLT,NBT,NBRT,SBLT,SBT,SBRT,EBLT,EBT,EBRT,WBLT,WBT,WBRT,Approche_Nord,Approche_Sud,Approche_Est,Approche_Ouest,Bus,Circulation
8705,Pie-IX / Rouen,2019-11-05,06:30:00,6,30,4,41,9,15,189,10,3,9,5,16,31,6,0,0,0,0,139_439,338
8713,Pie-IX / Rouen,2019-11-07,06:30:00,6,30,2,45,9,16,227,9,2,4,4,15,23,2,0,0,0,0,139_439,358
8705,Pie-IX / Rouen,2019-11-05,06:45:00,6,45,3,44,8,11,152,8,3,7,2,16,25,3,0,0,0,0,139_439,282
8713,Pie-IX / Rouen,2019-11-07,06:45:00,6,45,3,43,10,13,161,10,2,9,3,17,28,12,0,0,0,0,139_439,311
8705,Pie-IX / Rouen,2019-11-05,07:00:00,7,0,3,41,2,27,161,19,4,9,2,18,28,6,0,0,0,0,139_439,320
8713,Pie-IX / Rouen,2019-11-07,07:00:00,7,0,4,43,11,24,177,16,3,11,1,15,28,7,0,0,0,0,139_439,340
8709,Pie-IX / Rouen,2019-11-06,06:45:00,6,45,2,29,11,19,173,14,1,12,3,15,34,8,0,0,0,0,139_439,321
8784,Métropolitain Nord / Provencher,2019-10-29,06:45:00,6,45,28,29,0,0,72,68,0,0,0,30,356,5,0,0,0,0,460,588
8785,Métropolitain Nord / Provencher,2019-10-30,06:45:00,6,45,40,29,0,0,58,76,0,0,0,28,350,3,0,0,0,0,460,584
8786,Métropolitain Nord / Provencher,2019-10-31,06:45:00,6,45,38,29,0,0,64,64,0,0,0,46,364,10,0,0,0,0,460,615
8709,Pie-IX / Rouen,2019-11-06,07:00:00,7,0,6,50,5,15,188,14,6,16,1,15,32,3,0,0,0,0,139_439,351
8784,Métropolitain Nord / Provencher,2019-10-29,07:00:00,7,0,43,35,0,0,85,87,0,0,0,33,365,2,0,0,0,0,460,650
8785,Métropolitain Nord / Provencher,2019-10-30,07:00:00,7,0,44,39,0,0,72,77,0,0,0,27,359,4,0,0,0,0,460,622
8786,Métropolitain Nord / Provencher,2019-10-31,07:00:00,7,0,42,35,0,0,56,69,0,0,0,30,410,3,0,0,0,0,460,645
8709,Pie-IX / Rouen,2019-11-06,07:15:00,7,15,7,48,7,21,178,15,6,14,5,13,55,6,0,0,0,0,139_439,375
8784,Métropolitain Nord / Provencher,2019-10-29,07:15:00,7,15,49,36,0,0,90,76,0,0,0,22,324,3,0,0,0,0,460,600
